Player,Team,Gms,Att,Yds,Avg,YPG,Lg,TD,FD
Alexander HorvathA. Horvath,LAC,15,4,8,2.00,0.5,3,0,2
Alec IngoldA. Ingold,MIA,17,6,8,1.33,0.5,2,1,5
Scott MillerS. Miller,TB,15,1,8,8.00,0.5,8,0,0
Nick MullensN. Mullens,MIN,4,4,8,2.00,2.0,4,0,1
Trevor SiemianT. Siemian,CHI,2,4,8,2.00,4.0,6,0,1
Cedrick WilsonC. Wilson,MIA,15,1,8,8.00,0.5,8,0,0
Michael BurtonM. Burton,KC,17,5,7,1.40,0.4,6,0,2
Brandin CooksB. Cooks,HOU,13,2,7,3.50,0.5,5,0,0
C.J. HamC. Ham,MIN,17,4,7,1.75,0.4,3t,2,3
Kylin HillK. Hill,GB,2,1,7,7.00,3.5,7,0,1
Nathan PetermanN. Peterman,CHI,3,2,7,3.50,2.3,6,0,0
Amari RodgersA. Rodgers,HOU,6,2,7,3.50,1.2,4,0,0
Brett RypienB. Rypien,DEN,4,6,7,1.17,1.8,6,0,2
Olamide ZaccheausO. Zaccheaus,ATL,17,2,7,3.50,0.4,13,0,1
Joe FlaccoJ. Flacco,NYJ,5,3,6,2.00,1.2,7,0,1
Richie JamesR. James,NYG,17,2,6,3.00,0.3,4,0,0
K.J. OsbornK. Osborn,MIN,17,3,6,2.00,0.3,5,0,2
Cooper RushC. Rush,DAL,9,9,6,0.67,0.7,6,0,1
David BloughD. Blough,ARI,2,4,5,1.25,2.5,4,0,0
Chris GodwinC. Godwin,TB,15,3,5,1.67,0.3,2,0,0
Marquise GoodwinM. Goodwin,SEA,13,2,5,2.50,0.4,7,0,0
Travis KelceT. Kelce,KC,17,2,5,2.50,0.3,4,0,1
Elijah MooreE. Moore,NYJ,16,5,5,1.00,0.3,10,0,2
Jonnu SmithJ. Smith,NE,14,1,5,5.00,0.4,5,0,1
Courtland SuttonC. Sutton,DEN,15,1,5,5.00,0.3,5,0,0
Marcus AllenM. Allen,PIT,15,1,4,4.00,0.3,4,0,1
Jason CabindaJ. Cabinda,DET,8,1,4,4.00,0.5,4,0,1
Chase DanielC. Daniel,LAC,4,1,4,4.00,1.0,4,0,0
Godwin IgwebuikeG. Igwebuike,SEA,5,3,4,1.33,0.8,4,0,0
Duke JohnsonD. Johnson,BUF,1,2,4,2.00,4.0,4,0,1
Racey McMathR. McMath,TEN,5,1,4,4.00,0.8,4,0,0
Devine OzigboD. Ozigbo,DEN,4,3,4,1.33,1.0,4,0,0
Josh PalmerJ. Palmer,LAC,16,1,4,4.00,0.2,4,0,1
Adam ThielenA. Thielen,MIN,17,1,4,4.00,0.2,4,0,0
Garrett WilsonG. Wilson,NYJ,17,4,4,1.00,0.2,7,0,0
Nick BelloreN. Bellore,SEA,16,1,3,3.00,0.2,3,0,0
Tyler ConklinT. Conklin,NYJ,17,2,3,1.50,0.2,2,0,2
Josh JohnsonJ. Johnson,SF,2,2,3,1.50,1.5,4,0,0
Gardner MinshewG. Minshew,PHI,5,7,3,0.43,0.6,3,1,1
Chris MooreC. Moore,HOU,16,3,3,1.00,0.2,3,0,0
M.J. StewartM. Stewart,HOU,17,1,3,3.00,0.2,3,0,1
Daniel BellingerD. Bellinger,NYG,12,1,2,2.00,0.2,2t,1,1
Sean ChandlerS. Chandler,CAR,17,1,2,2.00,0.1,2,0,1
Jaelon DardenJ. Darden,TB,12,1,2,2.00,0.2,2,0,0
Ashtyn DavisA. Davis,NYJ,14,1,2,2.00,0.1,2,0,1
Peyton HendershotP. Hendershot,DAL,17,1,2,2.00,0.1,2t,1,1
Darnell MooneyD. Mooney,CHI,12,1,2,2.00,0.2,2,0,0
Foster MoreauF. Moreau,LV,15,0,2,0.00,0.1,2,0,0
Chigoziem OkonkwoC. Okonkwo,TEN,17,3,2,0.67,0.1,6,0,0
Donovan Peoples-JonesD. Peoples-Jones,CLE,17,1,2,2.00,0.1,2,0,0
Keith SmithK. Smith,ATL,17,1,2,2.00,0.1,2,0,1
Damien WilliamsD. Williams,ATL,1,2,2,1.00,2.0,2,0,0
Marquise BrownM. Brown,ARI,12,1,1,1.00,0.1,1,0,0
Noah GrayN. Gray,KC,17,1,1,1.00,0.1,1t,1,1
Jordan HowardJ. Howard,NO,2,1,1,1.00,0.5,1,0,0
Andy IsabellaA. Isabella,BAL,2,1,1,1.00,0.5,1,0,0
Durham SmytheD. Smythe,MIA,16,2,1,0.50,0.1,1t,1,1
Quez WatkinsQ. Watkins,PHI,17,3,1,0.33,0.1,4,0,0
Bryan AngerB. Anger,DAL,17,1,0,0.00,0.0,0,0,0
Tyler BadieT. Badie,DEN,1,1,0,0.00,0.0,0,0,0
Andrew BeckA. Beck,DEN,13,2,0,0.00,0.0,1,0,0
Gerald EverettG. Everett,LAC,16,1,0,0.00,0.0,0,0,0
Clayton FejedelemC. Fejedelem,MIA,13,1,0,0.00,0.0,0,0,0
Feleipe FranksF. Franks,ATL,11,1,0,0.00,0.0,0,0,0
Kylen GransonK. Granson,IND,13,1,0,0.00,0.0,0,0,0
Case KeenumC. Keenum,BUF,2,5,0,0.00,0.0,4,0,0
Allen LazardA. Lazard,GB,15,2,0,0.00,0.0,1,0,0
Dallin LeavittD. Leavitt,GB,17,1,0,0.00,0.0,0,0,0
Zach PascalZ. Pascal,PHI,17,1,0,0.00,0.0,0,0,0
Tommy TownsendT. Townsend,KC,17,0,0,0.00,0.0,0,0,0
Bailey ZappeB. Zappe,NE,4,10,0,0.00,0.0,5,0,0
Davante AdamsD. Adams,LV,17,3,-1,-0.33,-0.1,4,0,0
Brandon AllenB. Allen,CIN,1,3,-1,-0.33,-1.0,2,0,1
Tom BradyT. Brady,TB,17,29,-1,-0.03,-0.1,2,1,5
